date,county,covid,reflu,deaths
10/29/2022,Alamance ,11,4,0
10/29/2022,Alexander ,4,1,0
10/29/2022,Alleghany ,0,,0
10/29/2022,Anson ,0,,0
10/29/2022,Ashe ,0,,0
10/29/2022,Avery ,1,0,0
10/29/2022,Beaufort ,4,0,0
10/29/2022,Bertie ,1,0,0
10/29/2022,Bladen ,0,,0
10/29/2022,Brunswick ,4,1,0
10/29/2022,Buncombe ,10,2,0
10/29/2022,Burke ,3,1,0
10/29/2022,Cabarrus ,14,2,0
10/29/2022,Caldwell ,9,2,0
10/29/2022,Camden ,0,,0
10/29/2022,Carteret ,1,1,0
10/29/2022,Caswell ,0,,0
10/29/2022,Catawba ,9,4,0
10/29/2022,Chatham ,3,0,0
10/29/2022,Cherokee ,2,1,0
10/29/2022,Chowan ,0,,0
10/29/2022,Clay ,1,0,0
10/29/2022,Cleveland ,9,0,0
10/29/2022,Columbus ,1,1,0
10/29/2022,Craven ,6,0,1
10/29/2022,Cumberland ,23,5,0
10/29/2022,Currituck ,3,0,0
10/29/2022,Dare ,6,0,0
10/29/2022,Davidson ,14,1,0
10/29/2022,Davie ,4,0,0
10/29/2022,Duplin ,3,0,0
10/29/2022,Durham ,17,3,0
10/29/2022,Edgecombe ,2,0,0
10/29/2022,Forsyth ,32,2,0
10/29/2022,Franklin ,6,2,0
10/29/2022,Gaston ,12,5,0
10/29/2022,Gates ,0,,0
10/29/2022,Graham ,2,0,0
10/29/2022,Granville ,1,0,0
10/29/2022,Greene ,0,,0
10/29/2022,Guilford ,31,5,1
10/29/2022,Halifax ,4,0,0
10/29/2022,Harnett ,4,1,0
10/29/2022,Haywood ,4,0,0
10/29/2022,Henderson ,8,1,0
10/29/2022,Hertford ,2,0,0
10/29/2022,Hoke ,1,1,0
10/29/2022,Hyde ,0,,0
10/29/2022,Iredell ,11,2,0
10/29/2022,Jackson ,4,0,0
10/29/2022,Johnston ,5,0,0
10/29/2022,Jones ,1,0,0
10/29/2022,Lee ,9,0,0
10/29/2022,Lenoir ,3,1,0
10/29/2022,Lincoln ,4,1,0
10/29/2022,Macon ,0,,0
10/29/2022,Madison ,1,0,0
10/29/2022,Martin ,0,,0
10/29/2022,McDowell,5,1,0
10/29/2022,Mecklenburg ,71,2,0
10/29/2022,Mitchell ,1,0,0
